,0,1,2,3,4,5,6,7
0,کد نماد,گروه,گروه های صنعت,تابلو,نماد,نام لاتین,نماد,نام
1,IRB5IKCO8751,N2,خودرو و ساخت قطعات,فهرست اوليه,IKCQ1,Iran Khodro-D,62616504891233280,اوراق مشاركت ايران‌ خودرو
2,IRO1APPE0001,N2,رايانه و فعاليت‌هاي وابسته به آن,فهرست اوليه,APPE1,Asan Pardakht Pers,55254206302462116,آسان پرداخت پرشين
5,IRR1CONT0101,N1,ابزارپزشکي، اپتيکي و اندازه‌گيري,تابلو فرعي,CONX1,Iran Counter-R,57329318081089375,ح . كنتورسازي‌ايران‌
7,IRR1MKBT0101,N1,مخابرات,تابلو اصلي,MKBX1,Iran Tele Co.-R,45768538238520265,ح . مخابرات ايران
9,IRO1BKLA0001,N1,فعاليتهاي كمكي به نهادهاي مالي واسط,تابلو فرعي,BKLA1,Good Exch.Brk.,49869693814643443,كارگزاران بورس كالاي ايران
10,IRO1BALB0001,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو اصلي,BALB1,Alborz Bimeh,70270965300262393,بيمه البرز
11,IRR1BALB0101,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو اصلي,BABX1,Alborz Bimeh-R,12231544096052404,ح.بيمه البرز
12,IRO1OMID0001,N2,فعاليتهاي كمكي به نهادهاي مالي واسط,فهرست اوليه,OMID1,Investment Banking,18599703143458101,تامين سرمايه اميد
13,IRR1OMID0101,N2,فعاليتهاي كمكي به نهادهاي مالي واسط,فهرست اوليه,OMIX1,Inv. Banking -R,45104299259467366,ح . تامين سرمايه اميد
14,IRO1BAKH0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,BAKH1,Bakhtar Cable,751415341879364,كابل‌ باختر
15,IRR1BAKH0101,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,BAKX1,Bakhtar Cable-R,46858597966426366,ح . كابل‌ باختر
16,IRO1KALZ0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,KALZ1,Alborz Cable,62952165421099192,كابل‌ البرز
17,IRR1KALZ0101,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,KALX1,Alborz Cable-R,16471519272060905,ح . كابل‌ البرز
18,IRO1KBLI0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,KBLI1,Iran Cable,26711011601058186,كابلسازي‌ايران‌
19,IRR1KBLI0101,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,KBLX1,Iran Cable-R,5857871270392801,ح . كابلسازي‌ايران‌
20,IRO1TRNS0001,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو اصلي,TRNS1,Iran Transfo,46752599569017089,ايران‌ ترانسفو
21,IRR1TRNS0101,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو فرعي,TRNX1,Iran Transfo-R,53697601723435147,ح . ايران‌ ترانسفو
22,IRO1KTAK0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,KTAK1,Tak Cable,19734078707717188,كابلسازي‌ تك‌
23,IRR1KTAK0101,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,KTAX1,Tak Cable-R,8823734825807435,ح . كابلسازي‌ تك‌
24,IRO1JHRM0001,N2,عرضه برق، گاز، بخاروآب گرم,فهرست اوليه,JHRM1,Power Gen. Jarom,45118736321317244,توسعه مولد نيروگاهي جهرم
25,IRO1TTZC0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,TTZC1,Zangan Dist. Trans,64703398743024121,ترانسفورماتور توزيع زنگان
26,IRO1BRKT0001,N2,مواد و محصولات دارويي,فهرست اوليه,BRKT1,G.Barekat Pharm,34557241988629814,گروه دارويي بركت
27,IRR1BRKT0101,N2,مواد و محصولات دارويي,فهرست اوليه,BRKX1,G.Barekat Pharm-R,8981227815720204,ح . گروه دارويي بركت
28,IRO1SWIC0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,SWIC1,Pars Switch,47377315952751604,پارس‌سويچ‌
29,IRR1SWIC0101,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,SWIX1,Pars Switch-R,23484847504768205,ح . پارس‌سويچ‌
30,IRO1LAPS0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,LAPS1,Pars Shahab,69454539056549106,لامپ‌  پارس‌ شهاب‌
31,IRR1LAPS0101,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,LAPX1,Pars Shahab-R,39023890840208765,ح . لامپ‌  پارس‌ شهاب‌
32,IRO1BFJR0001,N2,عرضه برق، گاز، بخاروآب گرم,فهرست اوليه,BFJR1,Fajr Petrochemical,46178280540110577,پتروشيمي فجر
33,IRO1JOSH0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,JOSH1,Yazd Jooshkab,70219663893822560,صنايع‌جوشكاب‌يزد
34,IRR1JOSH0101,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,JOSX1,Yazd Jooshkab-R,29195987083197059,ح . صنايع‌جوشكاب‌يزد
35,IRO1KGND0001,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو فرعي,KGND1,Ghandi Cables.,22382156782768756,كارخانجات توليدي شهيد قندي
36,IRR1KGND0101,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو فرعي,KGNX1,Ghandi Cables.-R,65266756318187150,ح.كارخانجات توليدي شهيد قندي
37,IRO1MOTJ0001,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو اصلي,MOTJ1,Motogen,22086876724551482,موتوژن‌
38,IRR1MOTJ0101,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو اصلي,MOTX1,Motogen-R,1931037287459558,ح . موتوژن‌
39,IRO1NIRO0001,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو فرعي,NIRO1,Nirou Trans,20453828618330936,نيروترانس‌
40,IRR1NIRO0101,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو فرعي,NIRX1,Nirou Trans-R,46629374720083542,ح . نيروترانس‌
41,IRO1BORS0001,N1,فعاليتهاي كمكي به نهادهاي مالي واسط,تابلو اصلي,BORS1,Tehran Stock Exch.,60523145697836739,بورس اوراق بهادار تهران
42,IRO1ARTA0001,N2,لاستيك و پلاستيك,فهرست اوليه,ARTA1,Artavil Tire,29242941150825379,مجتمع‌صنعتي‌آرتاويل‌تاير
43,IRR1ARTA0101,N2,لاستيك و پلاستيك,فهرست اوليه,ARTX1,Artavil Tire-R,64910575313738889,ح . مجتمع‌صنعتي‌آرتاويل‌تاير
44,IRO1PARS0001,N2,محصولات شيميايي,فهرست اوليه,PARS1,PARS Petrochemical,6110133418282108,پتروشيمي پارس
45,IRO1PASN0001,N1,محصولات شيميايي,تابلو اصلي,PASN1,Parsian Oil&Gas,23441366113375722,گسترش نفت و گاز پارسيان
46,IRR1PASN0101,N1,محصولات شيميايي,تابلو اصلي,PASX1,Parsian Oil&Gas-R,36319830972593153,ح. گسترش نفت  و گاز پارسيان
47,IRO1IPAR0001,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو فرعي,IPAR1,Parsian,9481703061634967,بيمه پارسيان
48,IRR1IPAR0101,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو فرعي,IPAX1,Parsian-R,50201903966895115,ح.بيمه پارسيان
49,IRO1YASA0001,N2,لاستيك و پلاستيك,فهرست اوليه,YASA1,Iran Yasa Tire,63580313877463104,ايران‌ياساتايرورابر
50,IRR1YASA0101,N2,لاستيك و پلاستيك,فهرست اوليه,YASX1,Iran Yasa Tire-R,32338211917133256,ح . ايران‌ياساتايرورابر
51,IRO1PASH0001,N2,محصولات شيميايي,فهرست اوليه,PASH1,Paksho,62786156501584862,گروه صنعتي پاكشو
52,IRR1PASH0101,N2,محصولات شيميايي,فهرست اوليه,PAHX1,Paksho-R,4208841225215712,ح . گروه صنعتي پاكشو
53,IRO1TAIR0001,N2,لاستيك و پلاستيك,فهرست اوليه,TAIR1,Iran Tire,41935584690956944,ايران‌ تاير
54,IRR1TAIR0101,N1,لاستيك و پلاستيك,تابلو فرعي,TAIX1,Iran Tire-R,7503566413749235,ح . ايران‌ تاير
55,IRO1IPTR0001,N2,محصولات شيميايي,فهرست اوليه,IPTR1,Ir.Inv.Petr.,69143674941561637,گروه پتروشيمي س. ايرانيان
56,IRO1DRKH0001,N2,لاستيك و پلاستيك,فهرست اوليه,DRKH1,Derakhshan Teh.,24079409192818584,درخشان‌ تهران‌
57,IRR1DRKH0101,N2,لاستيك و پلاستيك,فهرست اوليه,DRKX1,Derakhshan Teh.-R,46023027311928862,ح . درخشان‌ تهران‌
58,IRO1DENA0001,N2,لاستيك و پلاستيك,فهرست اوليه,DENA1,Dena Tire,58120226425289272,توليدي‌لاستيك‌دنا
59,IRR1DENA0101,N2,لاستيك و پلاستيك,فهرست اوليه,DENX1,Dena Tire-R,13119207966484500,ح . توليدي‌لاستيك‌دنا
60,IRO1PRKT0001,N2,رايانه و فعاليت‌هاي وابسته به آن,فهرست اوليه,PRKT1,Behpardakht Mellat,59607545337891226,به پرداخت ملت
